description,qualifiedSearch
"Alerts when there are assets that define a specific priority and category but do not have an assigned owner."," from datamodel:""Identity_Management"".""All_Assets"" | where isnotnull('priority') AND len('priority')>0 AND isnotnull('category') AND len('category')>0 AND (isnull('owner') OR len('owner')==0) AND (isnull('ip') OR len('ip')==0 OR mvcount('ip')==1) | stats count | where 'count'>0 | eval const_dedup_id=""const_dedup_id"""
"Adversaries may use screensaver files to run malicious code. This analytic triggers on suspicious edits to the screensaver registry keys, which dictate which .scr file the screensaver runs. - MITRE ATT&CK Techniques: T1546"," tstats summariesonly=true allow_old_summaries=true count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_path=""*\\Software\\Policies\\Microsoft\\Windows\\Control Panel\\Desktop\\SCRNSAVE.EXE"" by Registry.user Registry.dest Registry.registry_path 
| `drop_dm_object_name(Registry)` 
| convert timeformat=""%m-%d-%Y %H:%M:%S"" ctime(firstTime)
| convert timeformat=""%m-%d-%Y %H:%M:%S"" ctime(lastTime) 
| table count user dest registry_path firstTime lastTime"
"The NTDSUtil tool may be used to dump a Microsoft Active Directory database to disk for processing with a credential access tool such as Mimikatz. - MITRE ATT&CK Techniques: T1003"," tstats `security_content_summariesonly` count FROM datamodel=Endpoint.Filesystem WHERE Filesystem.file_name=""*ntds.dit"" AND Filesystem.action=""created"" BY Filesystem.user, Filesystem.dest, Filesystem.file_name, Filesystem.file_path, Filesystem.process_guid, Filesystem.action 
| `drop_dm_object_name(Filesystem)` 
| join process_guid 
    [| tstats count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes WHERE Processes.process_name=""*ntdsutil.exe"" BY Processes.user, Processes.dest, Processes.process_name, Processes.process_path, Processes.parent_process_name, Processes.process_guid 
    | `drop_dm_object_name(Processes)`] 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes.  - MITRE ATT&CK Techniques: T1546"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_path=""*\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\Appinit_Dlls\\*""
 OR Registry.registry_path=""*\\SOFTWARE\\Wow6432Node\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\Appinit_Dlls\\*"" by Registry.user, Registry.dest, Registry.action, Registry.registry_path
| `drop_dm_object_name(Registry)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"Adversaries may attempt to conceal their tracks by deleting the history of commands run within the Powershell console, or turning off history saving to begin with. This analytic looks for several commands that would do this. - MITRE ATT&CK Techniques: T1070"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process=""*rm (Get-PSReadlineOption).HistorySavePath*"" OR Processes.process=""*del (Get-PSReadlineOption).HistorySavePath*"" OR  Processes.process=""*Set-PSReadlineOption –HistorySaveStyle SaveNothing*"" OR Processes.process=""*Remove-Item (Get-PSReadlineOption).HistorySavePath*"" OR Processes.process=""del*Microsoft\\Windows\\Powershell\\PSReadline\\ConsoleHost_history.txt"" by Processes.user, Processes.dest, Processes.process
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"CMSTP.exe is the Microsoft Connection Manager Profile Installer, which can be leveraged to setup listeners that will receive and install malware from remote sources in trusted fashion. When CMSTP.exe is seen in combination with an external connection, it is a good indication of this TTP. - MITRE ATT&CK Techniques: T1218","search eventtype=""ms-sysmon-network"" process_path=""C:\\Windows\\System32\\CMSTP.exe""  | where (NOT cidrmatch(""10.0.0.0/8"", src_ip) AND NOT cidrmatch(""192.168.0.0/16"", src_ip) AND NOT cidrmatch(""172.16.0.0/12"", src_ip)) | stats earliest(_time) as firstTime latest(_time) as lastTime count by user, src_ip, dest_ip, process_path 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"An adversary can use accessibility features (Ease of Access), such as StickyKeys or Utilman, to launch a command shell from the logon screen and gain SYSTEM access. - MITRE ATT&CK Techniques: T1546"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes WHERE Processes.action=""allowed"" AND  Processes.process_exec=""cmd.exe"" AND Processes.parent_process_exec=""winlogon.exe"" BY Processes.user, Processes.dest, Processes.action, Processes.process_name, Processes.process, Processes.process_path, Processes.parent_process_name, Processes.parent_process, Processes.parent_process_path
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Adversaries may hide malicious code in .chm compiled HTML files. When these files are read, Windows uses the HTML help executable named hh.exe, which is the signature for this analytic. - MITRE ATT&CK Techniques: T1218"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_exec=""hh.exe"" by Processes.user Processes.dest Processes.process_exec Processes.parent_process_exec Processes.process Processes.parent_process 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| table count user dest process_exec parent_process_exec process parent_process firstTime lastTime"
"Adversaries may establish persistence or escalate privileges by executing malicious content triggered by hijacked references to Component Object Model (COM) objects. This is typically done by replacing COM object registry entries under the HKEY_CURRENT_USER\Software\Classes\CLSID or HKEY_LOCAL_MACHINE\SOFTWARE\Classes\CLSID keys. - MITRE ATT&CK Techniques: T1546","tstats `security_content_summariesonly` count  min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_path=""*\\software\\classes\\clsid*"" by Registry.user, Registry.registry_path, Registry.action, Registry.dest
|`drop_dm_object_name('Registry')`
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Adversaries may use Windows Management Instrumentation (WMI) to move laterally, by launching executables remotely. - MITRE ATT&CK Techniques: T1047"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes WHERE Processes.process_exec=""wmic.exe"" AND Processes.process=""* process call create *"" AND Processes.process=""* /node:*"" BY Processes.user, Processes.dest, Processes.process_name, Processes.process, Processes.process_exec, Processes.process_path, Processes.parent_process_name, Processes.process_id 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"The Windows Task Manager may be used to dump the memory space of lsass.exe to disk for processing with a credential access tool such as Mimikatz. - MITRE ATT&CK Techniques: T1003"," tstats `security_content_summariesonly` count FROM datamodel=Endpoint.Filesystem WHERE Filesystem.file_name=""*lsass*.dmp"" AND Filesystem.action=""created"" BY Filesystem.user, Filesystem.dest, Filesystem.file_name, Filesystem.file_path, Filesystem.process_guid, Filesystem.action 
| `drop_dm_object_name(Filesystem)` 
| join process_guid 
    [| tstats count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes WHERE Processes.process_name=""taskmgr.exe"" BY Processes.user, Processes.dest, Processes.process_name, Processes.process_path, Processes.parent_process_name, Processes.process_guid 
    | `drop_dm_object_name(Processes)`] 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Adversaries may search the Windows Registry on compromised systems for insecurely stored credentials for credential access. This can be accomplished using the query functionality of the reg.exe system utility, by looking for keys and values that contain strings such as “password”. - MITRE ATT&CK Techniques: T1552"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes  where Processes.process = ""*reg* query *HKLM /f password /t REG_SZ /s*"" OR Processes.process = ""reg* query *HKCU /f password /t REG_SZ /s*"" OR Processes.process = ""*Get-UnattendedInstallFile*"" OR Processes.process = ""*Get-Webconfig*"" OR Processes.process = ""*Get-ApplicationHost*"" OR Processes.process = ""*Get-SiteListPassword*"" OR Processes.process = ""*Get-CachedGPPPassword*"" OR Processes.process = ""*Get-RegistryAutoLogon*"" by Processes.user Processes.dest, Processes.process, Processes.process_path
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"The Windows Registry location HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options allows for parameters to be set for applications during execution. One feature used by malicious actors is the “Debugger” option. Windows will launch the Debugging command line, and pass the original command line in as an argument. Adversaries can set a Debugger for Accessibility Applications. - MITRE ATT&CK Techniques: T1546"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process IN (""*$* *sethc.exe"", ""*$* *utilman.exe"", ""*$* *osk.exe"", ""*$* *narrator.exe"", ""*$* *magnify.exe"")
        by  Processes.process, host
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"After compromising a network of systems, threat actors often try to delete Shadow Copy in an attempt to prevent administrators from restoring the systems to versions present before the attack. This is often done via vssadmin, a legitimate Windows tool to interact with shadow copies. - MITRE ATT&CK Techniques: T1490"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_exec=""vssadmin.exe"" AND Processes.process=""*delete*""  by Processes.user, host, Processes.process, Processes.process_exec
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"In an attempt to avoid detection after compromising a machine, threat actors often try to disable Windows Defender. This is often done using “sc” [service control], a legitimate tool provided by Microsoft for managing services. - MITRE ATT&CK Techniques: T1562"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_exec=""sc.exe"" AND (Processes.process=""*stop*"" OR  Processes.process=""*config*"" OR  Processes.process=""*query*"") by Processes.process Processes.process_exec host
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"Threat actors often, after compromising a machine, try to disable User Access Control (UAC) to escalate privileges. This is often done by changing the registry key for system policies using “reg.exe”, a legitimate tool provided by Microsoft for modifying the registry via command prompt or scripts. - MITRE ATT&CK Techniques: T1548"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.parent_process_exec=""cmd.exe"" AND Processes.process=""*reg*HKLM*REG_DWORD* /d 0*""  by Processes.user, host, Processes.process, Processes.parent_process_exec
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"The ways of injecting a malicious DLL into a process are numerous, mavinject.exe is a commonly used tool for doing so because it roles up many of the necessary steps into one, and is available within Windows.  - MITRE ATT&CK Techniques: T1055"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
    WHERE (Processes.process_exec=""mavinject.exe"" OR Processes.process_exec=""mavinject32.exe"" OR Processes.process=""*INJECTRUNNING*"")
    BY Processes.user Processes.dest Processes.process Processes.process_exec Processes.parent_process_exec Processes.process_path Processes.parent_process_path
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"In order to gain persistence, privilege escalation, or remote execution, an adversary may use the Windows built-in command AT (at.exe) to schedule a command to be run at a specified time, date, and even host.  - MITRE ATT&CK Techniques: T1053"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_path = ""C:\\Windows\\*\\at.exe"" by Processes.process_name Processes.process_path Processes.process Processes.parent_process_name Processes.dest Processes.user  | `drop_dm_object_name(Processes)`  | `security_content_ctime(firstTime)`  | `security_content_ctime(lastTime)`"
"Scheduled tasks tool can be used to gain Persistence and can be used in combination with a Lateral Movement technique to remotely gain execution.  - MITRE ATT&CK Techniques: T1053","tstats `security_content_summariesonly` count from datamodel=Endpoint.Processes where Processes.process_exec=""schtasks.exe"" by Processes.user, Processes.dest, Processes.process
|`drop_dm_object_name(""Processes"")`
| eval is_suspicious=case(match(process,"".*(\/create|\/run|\/query|\/delete|\/change|\/end).*""),1)
| where is_suspicious=1"
"Regsvr32 can be used to execute arbitrary code in the context of a Windows signed binary, which can be used to bypass application whitelisting. This analytic looks for suspicious usage of the tool. - MITRE ATT&CK Techniques: T1218"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
    WHERE Processes.action=allowed AND Processes.process_path!=""*regsvr32.exe"" AND Processes.parent_process_path=""*regsvr32.exe"" 
    BY Processes.user, Processes.dest, Processes.process_name, Processes.process, Processes.process_path, Processes.process_exec, Processes.parent_process_name, Processes.parent_process, Processes.parent_process_path, Processes.parent_process_exec
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Regsvr32 can be used to execute arbitrary code in the context of a Windows signed binary, which can be used to bypass application whitelisting. This analytic looks for suspicious usage of the tool. - MITRE ATT&CK Techniques: T1218"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
    WHERE Processes.action=allowed 
    AND (Processes.parent_process_path=""C:\\Windows\\System32\\regsvr32.exe"" OR Processes.parent_process_path=""C:\\Windows\\SysWOW64\\regsvr32.exe"") 
    AND Processes.process_path!=""C:\\Windows\\System32\\regsvr32.exe"" 
    AND Processes.process_path!=""C:\\Windows\\SysWOW64\\regsvr32.exe"" 
    AND Processes.process_path!=""C:\\Windows\\SysWOW64\\WerFault.exe"" 
    AND Processes.process_path!=""C:\\Windows\\System32\\wevtutil.exe"" 
    AND Processes.process_path!=""C:\\Windows\\System32\\WerFault.exe"" 
    BY Processes.user, Processes.dest, Processes.process_name, Processes.process, Processes.process_path, Processes.process_exec, Processes.parent_process_name, Processes.parent_process, Processes.parent_process_path, Processes.parent_process_exec 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Cyber actors frequently escalate to the SYSTEM account after gaining entry to a Windows host, to enable them to carry out various attacks more effectively. This analytic looks for techniques to try and attain the system.  - MITRE ATT&CK Techniques: T1548"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where
(Processes.process_exec = ""cmd.exe"" OR Processes.process = ""*%COMSPEC%*"")
        AND (Processes.process = ""*echo*""  AND Processes.process = ""*\\pipe\\*"")
        by Processes.user, Processes.dest, Processes.parent_process_path, Processes.process_path, Processes.process
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"Cyber actors frequently escalate to the SYSTEM account after gaining entry to a Windows host, to enable them to carry out various attacks more effectively. This analytic looks for techniques to try and attain the system.  - MITRE ATT&CK Techniques: T1548"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where
(Processes.parent_process_exec = ""services.exe"" AND Processes.process_exec = ""cmd.exe"" 
        AND (Processes.process = ""*echo*""  AND Processes.process = ""*\\pipe\\*""))
        OR (Processes.process_exec = ""rundll32.exe"" AND Processes.process = ""*,a /p:*"") by Processes.user, Processes.dest, Processes.parent_process_path, Processes.process_path, Processes.process
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"When entering on a host for the first time, an adversary may try to discover information about the host. There are several built-in Windows commands that can be used to learn about the software configurations, active users, administrators, and networking configuration. These commands should be monitored to identify when an adversary is learning information about the system and environment. - MITRE ATT&CK Techniques: T1087 T1069 T1016 T1082 T1033 T1057 T1007"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
WHERE Processes.action=""allowed"" AND  (Processes.process_exec=""hostname.exe"" OR Processes.process_exec=""ipconfig.exe"" OR Processes.process_exec=""net.exe"" OR Processes.process_exec=""quser.exe"" OR Processes.process_exec=""qwinsta.exe"" OR Processes.process_exec=""systeminfo.exe"" OR Processes.process_exec=""tasklist.exe"" OR Processes.process_exec=""whoami.exe"" OR (Processes.process_exec=""sc.exe"" AND (Processes.process=""* query *"" OR Processes.process=""* qc *"")))
BY Processes.user, Processes.dest, Processes.action, Processes.process_name, Processes.process, Processes.process_path, Processes.parent_process_name, Processes.parent_process, Processes.parent_process_path
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"After compromising an initial machine, adversaries commonly attempt to laterally move across the network. The first step to attempt the lateral movement often involves conducting host identification, port and service scans on the internal network via the compromised machine using tools such as Nmap, Cobalt Strike, etc. - MITRE ATT&CK Techniques: T1046"," tstats `security_content_summariesonly` dc(All_Traffic.dest_port) as portCount min(_time) as firstTime max(_time) as lastTime from datamodel=Network_Traffic.All_Traffic where (All_Traffic.dest_ip=""10.0.0.0/8"" OR All_Traffic.dest_ip=""192.168.0.0/16"" OR All_Traffic.dest_ip=""172.16.0.0/12"")  by All_Traffic.src_ip  All_Traffic.dest_ip
| `drop_dm_object_name(All_Traffic)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| where portCount > 5"
"Adversaries may attempt to evade system defenses by unloading minifilter drivers used by host-based sensors such as Sysmon through the use of the fltmc command-line utility.  - MITRE ATT&CK Techniques: T1562"," tstats `security_content_summariesonly` count  min(_time) as firstTime max(_time) as lastTime  from datamodel=Endpoint.Processes where Processes.process_exec=""fltmc.exe"" Processes.process=""*unload*"" by Processes.user, Processes.dest, Processes.process_exec, Processes.process
| `drop_dm_object_name('Processes')`
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Adversaries may use a variety of tools to gain visibility on the current status of things on the network: which processes are listening on which ports, which services are running on other hosts, etc.  - MITRE ATT&CK Techniques: T1040"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
    WHERE (Processes.process_exec=""tshark.exe"" OR Processes.process_exec=""windump.exe"" OR (Processes.process_exec=""logman.exe"" AND Processes.parent_process_exec!=""?"" AND Processes.parent_process_path!=""C:\\Program Files\\Windows Event Reporting\\Core\\EventReporting.AgentService.exe"") OR Processes.process_exec=""tcpdump.exe"" OR Processes.process_exec=""wprui.exe"" OR Processes.process_exec=""wpr.exe"" OR Processes.process_exec=""pktmon.exe"") 
    BY Processes.user Processes.dest Processes.process_exec Processes.parent_process_exec Processes.process Processes.parent_process Processes.parent_process_path
| `drop_dm_object_name(Processes)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"Cyber actors frequently enumerate local or domain permissions groups. The net utility is usually used for this purpose. This analytic looks for any instances of net.exe, which is not normally used for benign purposes, although system administrator actions may trigger false positives.
 - MITRE ATT&CK Techniques: T1069"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes 
where Processes.process_exec = ""net.exe"" AND (Processes.process = ""* user*"" OR Processes.process = ""* group*"" OR Processes.process = ""* localgroup*"" OR Processes.process = ""*get-localgroup*"" OR Processes.process = ""*get-ADPrincipalGroupMembership*"") by Processes.user Processes.dest, Processes.process_exec, Processes.process_path
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
"ProcDump is a sysinternal command-line utility whose primary purpose is monitoring an application for CPU spikes and generating crash dumps.  ProcDump may be used to dump the memory space of lsass.exe to disk for processing with a credential access tool such as Mimikatz. - MITRE ATT&CK Techniques: T1003"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
    WHERE Processes.action=allowed 
    AND Processes.process_path=""*\\procdump*.exe""
    AND Processes.process=""*lsass*""
    BY Processes.user, Processes.dest, Processes.process_name, Processes.process, Processes.process_path, Processes.process_exec, Processes.parent_process_name, Processes.parent_process, Processes.parent_process_path, Processes.parent_process_exec 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`"
"Trusted developer utilities such as MSBuild may be leveraged to run malicious code with elevated privileges. This analytic looks for any instances of msbuild.exe and msxsl.exe. - MITRE ATT&CK Techniques:  T1127"," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes 
    WHERE (Processes.process_path=""C:\\Program Files (x86)\\Microsoft Visual Studio\\*\\bin\\MSBuild.exe"" OR Processes.process_path=""C:\\Windows\\Microsoft.NET\\Framework*\\msbuild.exe"" OR Processes.process_path=""C:\\users\\*\\appdata\\roaming\\microsoft\\msxsl.exe"") AND Processes.parent_process_path=""*\\Microsoft Visual Studio*""
    BY Processes.user Processes.dest Processes.process Processes.process_path Processes.parent_process_path
| `drop_dm_object_name(Processes)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`"
