id_desc,datasource
"account_discovery_with_net_app:This search is to detect a potential account discovery series of command used by several malware or attack to recon the target machine. This technique is also seen in some note worthy malware like trickbot where it runs a cmd process, or even drop its module that will execute the said series of net command. This series of command are good correlation search and indicator of attacker recon if seen in the machines within a none technical user or department (HR, finance, ceo and etc) network.",Endpoint Detection and Response
"active_directory_lateral_movement_identified:The primary objective of this correlation rule is to detect and alert on potential lateral movement activities within an organization's Active Directory (AD) environment. By identifying multiple analytics associated with the Active Directory Lateral Movement analytic story, security analysts can gain better insight into possible threats and respond accordingly to mitigate risks. The correlation rule will trigger an alert when multiple analytics from the Active Directory Lateral Movement analytic story are detected within a specified time frame. The rule will generate an alert if a predetermined threshold of correlated analytics is reached within the specified time frame. This threshold can be customized to suit the needs and risk appetite of the organization.",Risk Modifiers
"active_directory_privilege_escalation_identified:The primary objective of this correlation rule is to detect and alert on potential privilege escalation activities within an organization's Active Directory (AD) environment. By identifying multiple analytics associated with the Active Directory Privilege Escalation analytic story, security analysts can gain better insight into possible threats and respond accordingly to mitigate risks. The correlation rule will trigger an alert when multiple analytics from the Active Directory Privilege Escalation analytic story are detected within a specified time frame. The rule will generate an alert if a predetermined threshold of correlated analytics is reached within the specified time frame. This threshold can be customized to suit the needs and risk appetite of the organization.",Risk Modifiers
"active_setup_registry_autostart:This analytic is to detect a suspicious modification of the active setup registry for persistence and privilege escalation. This technique was seen in several malware (poisonIvy), adware and APT to gain persistence to the compromised machine upon boot up. This TTP is a good indicator to further check the process id that do the modification since modification of this registry is not commonly done. check the legitimacy of the file and process involve in this rules to check if it is a valid setup installer that creating or modifying this registry.",Endpoint Detection and Response
"activity_from_expired_user_identity:Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).",Authentication
add_defaultuser_and_password_in_registry:this search is to detect a suspicious registry modification to implement auto admin logon to a host. This technique was seen in BlackMatter ransomware to automatically logon to the compromise host after  triggering a safemode boot to continue encrypting the whole network. This behavior is not a common practice and really a suspicious TTP or alert need to be consider if found within then network premise.,Endpoint Detection and Response
"add_or_set_windows_defender_exclusion:This analytic will identify a suspicious process command-line related to Windows Defender exclusion feature. This command is abused by adversaries, malware authors and red teams to bypass Windows Defender Antivirus products by excluding folder path, file path, process and extensions. From its real time or schedule scan to execute their malicious code. This is a good indicator for defense evasion and to look further for events after this behavior.",Endpoint Detection and Response
adsisearcher_account_discovery:The following analytic utilizes PowerShell Script Block Logging (EventCode=4104) to identify the `[Adsisearcher]` type accelerator being used to query Active Directory for domain groups. Red Teams and adversaries may leverage `[Adsisearcher]` to enumerate domain users for situational awareness and Active Directory Discovery.,Windows Security
aggregated_risk:Detect low and slow activities and complex insider threat patterns by finding users with concentrations of risky activities.,Ticket Management
allow_file_and_printing_sharing_in_firewall:This search is to detect a suspicious modification of firewall to allow file and printer sharing. This technique was seen in ransomware to be able to discover more machine connected to the compromised host to encrypt more files,Endpoint Detection and Response
allow_inbound_traffic_by_firewall_rule_registry:This analytic detects a potential suspicious modification of firewall rule registry allowing inbound traffic in specific port with public profile. This technique was identified when an adversary wants to grant remote access to a machine by allowing the traffic in a firewall rule.,Endpoint Detection and Response
allow_inbound_traffic_in_firewall_rule:The following analytic identifies suspicious PowerShell command to allow inbound traffic inbound to a specific local port within the public profile. This technique was seen in some attacker want to have a remote access to a machine by allowing the traffic in firewall rule.,Windows Security
"allow_network_discovery_in_firewall:This search is to detect a suspicious modification to the firewall to allow network discovery on a machine. This technique was seen in couple of ransomware (revil, reddot) to discover other machine connected to the compromised host to encrypt more files.",Endpoint Detection and Response
allow_operation_with_consent_admin:This analytic identifies a potential privilege escalation attempt to perform malicious task. This registry modification is designed to allow the `Consent Admin` to perform an operation that requires elevation without consent or credentials. We also found this in some attacker to gain privilege escalation to the compromise machine.,Endpoint Detection and Response
"amazon_eks_kubernetes_cluster_scan_detection:This search provides information of unauthenticated requests via user agent, and authentication data against Kubernetes cluster in AWS",AWS
amazon_eks_kubernetes_pod_scan_detection:This search provides detection information on unauthenticated requests against Kubernetes' Pods API,AWS
"anomalous_audit_trail_activity_detected:Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.",Windows Security
anomalous_new_listening_port:Alerts a series of hosts begin listening on a new port within 24 hours. This may be an indication that the devices have been compromised or have had new (and potentially vulnerable) software installed.,Endpoint Detection and Response
anomalous_new_process:Alerts when an anomalous number hosts are detected with a new process.,Endpoint Detection and Response
anomalous_new_service:Alerts when an anomalous number hosts are detected with a new service.,Endpoint Detection and Response
"anomalous_usage_of_7zip:The following detection identifies a 7z.exe spawned from `Rundll32.exe` or `Dllhost.exe`. It is assumed that the adversary has brought in `7z.exe` and `7z.dll`. It has been observed where an adversary will rename `7z.exe`. Additional coverage may be required to identify the behavior of renamed instances of `7z.exe`. During triage, identify the source of injection into `Rundll32.exe` or `Dllhost.exe`. Capture any files written to disk and analyze as needed. Review parallel processes for additional behaviors. Typically, archiving files will result in exfiltration.",Endpoint Detection and Response
"any_powershell_downloadfile:The following analytic identifies the use of PowerShell downloading a file using `DownloadFile` method. This particular method is utilized in many different PowerShell frameworks to download files and output to disk. Identify the source (IP/domain) and destination file and triage appropriately. If AMSI logging or PowerShell transaction logs are available, review for further details of the implant.",Endpoint Detection and Response
"any_powershell_downloadstring:The following analytic identifies the use of PowerShell downloading a file using `DownloadString` method. This particular method is utilized in many different PowerShell frameworks to download files and output to disk. Identify the source (IP/domain) and destination file and triage appropriately. If AMSI logging or PowerShell transaction logs are available, review for further details of the implant.",Endpoint Detection and Response
"asl_aws_concurrent_sessions_from_different_ips:The following analytic identifies an AWS IAM account with concurrent sessions coming from more than one unique IP address within the span of 5 minutes. This behavior could represent a session hijacking attack whereby an adversary has extracted cookies from a victims browser and is using them from a different location to access corporate online resources. When a user navigates the AWS Console after authentication, the API call with the event name `DescribeEventAggregates` is registered in the AWS CloudTrail logs. The Splunk Threat Research team leveraged this event name to identify 2 concurrent sessions. The presence of this event occurring from two different IP addresses is highly unlikely. As users may behave differently across organizations, security teams should test and customize this detection to fit their environments.",AWS
"asl_aws_createaccesskey:This search looks for AWS CloudTrail events where a user A who has already permission to create access keys, makes an API call to create access keys for another user B. Attackers have been know to use this technique for Privilege Escalation in case new victim(user B) has more permissions than old victim(user B)",AWS
"asl_aws_defense_evasion_delete_cloudtrail:This analytic identifies AWS `DeleteTrail` events within CloudTrail logs. Adversaries often try to impair their target's defenses by stopping their malicious activity from being logged, so that they may operate with stealth and avoid detection. When the adversary has the right type of permissions in the compromised AWS environment, they may delete the the entire cloudtrail that is logging activities in the environment.",AWS
"asl_aws_defense_evasion_delete_cloudwatch_log_group:This analytic identifies AWS `DeleteLogGroup` events in CloudTrail logs. Attackers may evade the logging capability by deleting the log group in CloudWatch. This will stop sending the logs and metrics to CloudWatch. When the adversary has the right type of permissions within the compromised AWS environment, they may delete the CloudWatch log group that is logging activities in the environment.",AWS
"asl_aws_defense_evasion_impair_security_services:This analytic looks for several delete specific API calls made to AWS Security Services like CloudWatch, GuardDuty and Web Application Firewalls. These API calls are often leveraged by adversaries to weaken existing security defenses by deleting logging configurations in the CloudWatch alarm, delete a set of detectors from your Guardduty environment or simply delete a bunch of CloudWatch alarms to remain stealthy and avoid detection.",AWS
asl_aws_excessive_security_scanning:This search looks for AWS CloudTrail events and analyse the amount of eventNames which starts with Describe by a single user. This indicates that this user scans the configuration of your AWS cloud environment.,AWS
"asl_aws_iam_delete_policy:The following detection identifes when a policy is deleted on AWS. This does not identify whether successful or failed, but the error messages tell a story of suspicious attempts. There is a specific process to follow when deleting a policy. First, detach the policy from all users, groups, and roles that the policy is attached to, using DetachUserPolicy , DetachGroupPolicy , or DetachRolePolicy.",AWS
asl_aws_new_mfa_method_registered_for_user:The following analytic identifies the registration of a new Multi Factor authentication method for an AWS account logged through Amazon Secruity Lake (ASL). Adversaries who have obtained unauthorized access to an AWS account may register a new MFA method to maintain persistence.,AWS
"asl_aws_password_policy_changes:This search looks for AWS CloudTrail events from Amazon Security Lake where a user is making successful API calls to view/update/delete the existing password policy in an AWS organization. It is unlikely for a regular user to conduct this operation. These events may potentially be malicious, adversaries often use this information to gain more understanding of the password defenses in place and exploit them to increase their attack surface when a user account is compromised.",AWS
asset_ownership_unspecified:Alerts when there are assets that define a specific priority and category but do not have an assigned owner.,Configuration Management
at01:Triggered when an application is executed on an endpoint or server. Blacklisted applications are pre-defined in UBA and updated on a regular basis.,"Endpoint Detection and Response
Windows Security"
"at02:Triggered off of DNS and/or HTTP data, this anomaly compares domains that are visted against the internal UBA blacklist. If sites match, the anomaly is created.",Web Proxy
"at03:Trigerred off of core network traffic, this anomaly compares IP addresses that are visted agains the internal UBA IP Address blacklist. If IPs match, the anomaly is created.",Network Communication
at04:Triggered off of authentication attempts and/or number of devices a user has access to over time. Identifies possible brute force attacks inside of an environment.,"Windows Security
Authentication"
at05:Triggered off of accounting information from firewall data (bytes in/out) to determine an unusually high volume of downloaded data per user from UBA defined internal servers.,Network Communication
at06:Triggered when there is more than expected data transfer for a user or device. This anomaly will often be included in a data exfiltration attempt.,Network Communication
"at07:This is a generic catch all anomaly that can hold alarms generated by 3rd party systems like firewall, IDS/IPS, Enterprise Security, etc.","DLP
IDS or IPS
Anti-Virus or Anti-Malware
Host-based IDS"
"at08:This anomaly detects malicious incoming traffic on websites (e.g., SQL injection).",Web Server
at09:Trigged when acess to a badge panel (door or otherwise) is denied because the badge is disabled. Disabled doe not neceissarly mean terminated.,Physical Security
at10:Triggered by multiple failed access attempts at multiple physical locations.,Physical Security
at11:Triggered when a user exhibits behavior that indicates that the user may be a flight risk (risk to leave the company).,"Web Proxy
Email"
at12:Triggered by users logging into VPN session from multiple locations within a short amount of time.,Authentication
at13:Triggered when an account is created on a workstation or endpoint. This is a local Windows account when the machine is joined to a domain.,Windows Security
at14:Triggered by devices that have recurring machine generated traffic. Looking at both web and network traffic.,Network Communication
"at15:This anomaly contains multiple detection methods that look at Windows Event Logs for malicious activity (e.g., clearning audit logs). Check associated detection methods for an exhastive list of what triggers this anomaly.","Windows Security
Authentication"
at16:Triggered when a user fails authentication multiple times. This anomaly is only  triggered when the number of authentication failures exceeds the enterprise average.,"Windows Security
Authentication"
at17:Triggered on outliers of number of successes and failures per user authenticating against services or machines.,"Windows Security
Authentication"
at18:Triggered by number of badge accesses per user per day based on historical baseline.,Physical Security
"at19:Triggered by multiple login errors against Box authentication. This is for failed logins only. Similar to the ""Multiple Box Logins"" anomaly.",Box
at20:Triggered by the total number of  Box logins per user per day based on historical baseline. These are successful logins only.,Box
at21:Triggered by a high volume of box operations by user. The number of operations  is compared to the enterprise average.,Box
"at22:Triggered when the number of external alarms from external tools (IDS, IPS, DLP) is higher for a specific user when compared to the enterprise average.","DLP
IDS or IPS
Host-based IDS"
at23:Triggered when multiple users fail to badge in at a single badge-in access point. This could be used to detect both a physical brute force attack or faulty hardware.,Physical Security
"at24:Triggered when the number of successful logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including lateral movement, account takeover, or just general suspicious behavior.","Windows Security
Authentication"
at25:Triggered when there is more than expected traffic destined for a single device. Most typically this anomaly is seen with DDOS behavior or something similar.,Network Communication
at26:Triggered when Windows events occur outside of the normal baseline for a user. ,Windows Security
at27:Triggered by external email monitoring tools when a specific user or group is a possible target of a spear phishing campaign.,Email
at28:Triggered when an internal webserver is accessed from an outside source.,Web Server
at29:Triggers when a device exhibits either horizontal/vertical scanning patterns or appears to be sending data to a large number of ports per destination device.,Network Communication
"at30:This anomaly contains multiple detection methods that look at account events for suspcious activity (e.g., activity by an expired user). Check the associated detection methods for an exhaustive list of what triggers this anomaly.","Email
Windows Security
Authentication"
"at31:Triggered when an account lockout occurs without any corresponding cause (e.g., password change, password reset, etc.) ",Windows Security
"at32:This anomaly contains a number of detection methods surrounding box usage and malicious intent (e.g., file relay through box). Check the associated detection methods for a comprehensive list of what triggers this anomaly.","Anti-Virus or Anti-Malware
IDS or IPS
DLP
Box
Host-based IDS"
"at33:This anomaly contains multiple detection methods surrounding suspicious data movement (e.g., sending email to self, external DLP alarms, etc.)","Endpoint Detection and Response
Network Communication
DLP
Web Proxy
Email"
at34:Triggered when a user visits a malicious or suspicious site. This classification is determined by NGFW categories.,Web Proxy
at35:Triggered when a user visits a suspicious domain name that appears to be algorithmically generated. ,"Web Proxy
DNS"
at36:Triggered by detecting sequences in HTTP requests that signify a possible exploit.,Web Proxy
"at37:This anomaly contains multiple detections that inspect network traffic and look for suspicious activity (e.g., DNS data exfiltration). Check the associated detection methods for a comprehensive list of possible triggers for this anomaly.",Network Communication
at38:Triggered when a user accesses a number of systems and that number increases systematically over time. This is a lead indicator of a possible lateral movement threat.,"Windows Security
Authentication"
at39:Triggered when a user accesses a box resource for the first time. This anomaly is based on an individual user's baseline. ,Box
"at40:Triggered when a possible malicious powershell command is executed. This anomaly contains detection methods that inspect endpoint and Windows event logs looking for suspicious commands (e.g., base64 encoded powershell commands).",Windows Security
at41:Triggered when an account with administrator privledges logs in (event code 4672) and is associated with another user logging in within the same time period.,Windows Security
at42:Triggered when a user has an abnormal login time of day or day of week. This is based on the user's rolling baseline.,"Windows Security
Authentication"
at43:Triggered when a badge attempts to access a badge reader that it has historically not accessed. This is based on location and the badge (or user) baseline history.,Physical Security
at44:Triggered on a large number of deletes from a cloud file storage system. This anomaly looks at the enterprise average for a historical baseline.,Box
at45:Triggered on a large number of file/directory downloads from a cloud file storage system. This is specifically the number of downloads not the size of the downloads. This anomaly looks at the enterprise afverage for a historical baseline.,Box
"at46:This is a catch all anomaly for any external alarm that is created by a third party system (e.g., IDS, IPS, DLP, NGFW). These anomalies are useful for increasing the users risk profile and add context to threats inside of UBA.","DLP
IDS or IPS
Anti-Virus or Anti-Malware
Host-based IDS"
at47:Triggered when a user accesses a new file type or extension. This is based on a user's previous history and/or peer group activity.,Endpoint Detection and Response
"at48:Triggered when an organziation, user, device, or peer group generates network traffic destined for a rare or unique Country destination. This anomaly requires destinationCountry (or similar) to be populated.",Network Communication
at49:This anomaly contains a large number of detections for rare or unusual machine access.,Windows Security
at50:This anomaly contains a large number of detections for rare or unusual network interaction.,Network Communication
"at51:This anomaly looks at different aspects of print jobs from a peer group or user baseline, as well as looking at the extensions of the files that are printed.",Application Data
at52:Triggered by badge access that is outside the normal user's baseline. This can be either failed or successful badge-in attempts outside of the normal baseline.,Physical Security
at53:This anomaly contains a number of detection methods surrounding USB usage in the enterprise.,Endpoint Detection and Response
at54:Triggered when a user uses a USB device (plugging into a computer) for the first time. This anomaly is based on the user's historical information.,Endpoint Detection and Response
"at55:Triggered when traffic is destined from a rare sourceCountry for an organziation, user, device, or peer group. This anomaly requires sourceCountry (or similar) to be populated.",Network Communication
"at56:Triggered when either a user or device exhibits a rare browser user agent string (e.g., iexplorer.exe instead of iexplore.exe).",Web Proxy
"at57:This is a catch all anomaly for unusal Windows Security Events. This can contain things like: rare process, rare resource, or even a rare process name for a given process. This anomaly is based on user baseline and enterprise baseline.",Windows Security
at58:Triggered when a VPN session extends past the normal time period. This time period is determined by both the user's individual baseline as well as the enterprise average.,Network Communication
at59:Triggered when the number of physical USB attach and detach actions exceed the idividual's historical baseline.,Endpoint Detection and Response
at60:Triggered when an excessive amount of data is uploaded or stored onto an internal server or cloud storage system. This anomaly is often a pre-cursor to a flight risk threat or data exfiltration threat. ,"Web Proxy
Network Communication"
"at61:Triggered when the number of failed logins by a user is higher than the enterprise average. This anomaly could point to a number of things, including a brute force attack, password spraying, or just general suspicious behavior.","Windows Security
Authentication"
at62:Triggered when a user has a higher than normal number of downloads from a Box data source,Box
at63:Triggered when a user visits a malicious or suspicious site by IP directly.,"Web Proxy
Network Communication"
"at64:This is a subset of the Unusual Printer Usage anomaly that looks only at number of print jobs, increased number of print jobs, or volume of data printed. It's based on individual user baseline as well as the enterprise average.","DLP
Application Data"
at65:This is a subset of the Excessive Data Transmission anomaly that looks only at volume of downloaded data while on VPN.,Network Communication
at66:Triggered when the number of outgoing connections is greater than the user's historical baseline or the enterprise average.,Network Communication
at67:Triggered when a service account either logs in via VPN or interactively on a device. Does not trigger for normal service account activity.,"Windows Security
Authentication"
attacker_tools_on_endpoint:This search looks for execution of commonly used attacker tools on an endpoint.,Endpoint Detection and Response
attempt_to_add_certificate_to_untrusted_store:Attempt To Add Certificate To Untrusted Store,Endpoint Detection and Response
attempt_to_stop_security_service:This search looks for attempts to stop security-related services on the endpoint.,Endpoint Detection and Response
attempted_credential_dump_from_registry_via_reg_exe:Monitor for execution of reg.exe with parameters specifying an export of keys that contain hashed credentials that attackers may try to crack offline.,Endpoint Detection and Response
auto_admin_logon_registry_entry:this search is to detect a suspicious registry modification to implement auto admin logon to a host. This technique was seen in BlackMatter ransomware to automatically logon to the compromise host after  triggering a safemode boot to continue encrypting the whole network. This behavior is not a common practice and really a suspicious TTP or alert need to be consider if found within then network premise.,Endpoint Detection and Response
"aws_ami_atttribute_modification_for_exfiltration:This search looks for suspicious AWS AMI attribute modifications, such as sharing it with another AWS account or making the full AMI image public. Adversaries are known to abuse these APIs to exfiltrate sensitive organization information stored in the AWS Resources, there by its very important to monitor these seemingly benign API activity in Cloudtrail logs.",AWS
"aws_apis_called_more_often_than_usual_per_account:Builds a per-user baseline for how many API calls is normal, and then alerts for deviations.","AWS
GCP
Azure"
"aws_cloud_provisioning_activity_from_unusual_country:Looks for IaaS Provisioning activities that occur from new IPs, using GeoIP to resolve the Country.","AWS
GCP
Azure"
aws_cloud_provisioning_activity_from_unusual_ip:Looks for Cloud Provisioning activities that occur from new IPs (for organizations with strict IP controls).,"AWS
GCP
Azure"
"aws_cloud_provisioning_from_previously_unseen_city:This search looks for AWS provisioning activities from previously unseen cities.  Provisioning activities are defined broadly as any event that begins with ""Run"" or ""Create."" This search is deprecated and have been translated to use the latest Change Datamodel. ",AWS
"aws_cloud_provisioning_from_previously_unseen_country:This search looks for AWS provisioning activities from previously unseen countries. Provisioning activities are defined broadly as any event that begins with ""Run"" or ""Create."" This search is deprecated and have been translated to use the latest Change Datamodel. ",AWS
"aws_cloud_provisioning_from_previously_unseen_ip_address:This search looks for AWS provisioning activities from previously unseen IP addresses. Provisioning activities are defined broadly as any event that begins with ""Run"" or ""Create."" This search is deprecated and have been translated to use the latest Change Datamodel. ",AWS
"aws_cloud_provisioning_from_previously_unseen_region:This search looks for AWS provisioning activities from previously unseen regions. Region in this context is similar to a state in the United States. Provisioning activities are defined broadly as any event that begins with ""Run"" or ""Create."" This search is deprecated and have been translated to use the latest Change Datamodel.",AWS
"aws_concurrent_sessions_from_different_ips:The following analytic identifies an AWS IAM account with concurrent sessions coming from more than one unique IP address within the span of 5 minutes. This behavior could represent a session hijacking attack whereby an adversary has extracted cookies from a victims browser and is using them from a different location to access corporate online resources. When a user navigates the AWS Console after authentication, the API call with the event name `DescribeEventAggregates` is registered in the AWS CloudTrail logs. The Splunk Threat Research team leveraged this event name to identify 2 concurrent sessions. The presence of this event occurring from two different IP addresses is highly unlikely. As users may behave differently across organizations, security teams should test and customize this detection to fit their environments.",AWS
aws_console_login_failed_during_mfa_challenge:The following analytic identifies an authentication attempt event against an AWS Console that fails during the Multi Factor Authentication challenge. AWS Cloudtrail logs provide a a very useful field called `additionalEventData` that logs information regarding usage of MFA. This behavior may represent an adversary trying to authenticate with compromised credentials for an account that has multi-factor authentication enabled.,AWS
aws_create_policy_version_to_allow_all_resources:This search looks for AWS CloudTrail events where a user created a policy version that allows them to access any resource in their account.,AWS
"aws_createaccesskey:This search looks for AWS CloudTrail events where a user A who has already permission to create access keys, makes an API call to create access keys for another user B. Attackers have been know to use this technique for Privilege Escalation in case new victim(user B) has more permissions than old victim(user B)",AWS
"aws_createloginprofile:This search looks for AWS CloudTrail events where a user A(victim A) creates a login profile for user B, followed by a AWS Console login event from user B from the same src_ip as user B. This correlated event can be indicative of privilege escalation since both events happened from the same src_ip",AWS
"aws_credential_access_failed_login:It shows that there have been an unsuccessful attempt to log in using the user identity to the AWS management console. Since the user identity has access to AWS account services and resources, an attacker might try to brute force the password for that identity.",Authentication
aws_credential_access_getpassworddata:This detection analytic identifies more than 10 GetPasswordData API calls made to your AWS account with a time window of 5 minutes. Attackers can retrieve the encrypted administrator password for a running Windows instance.,AWS
"aws_credential_access_rds_password_reset:The master user password for Amazon RDS DB instance can be reset using the Amazon RDS console. Using this technique, the attacker can get access to the sensitive data from the DB. Usually, the production databases may have sensitive data like Credit card information, PII, Health care Data. This event should be investigated further.",AWS
aws_cross_account_activity_from_previously_unseen_account:This search looks for AssumeRole events where an IAM role in a different account is requested for the first time.,Authentication
"aws_defense_evasion_delete_cloudtrail:This analytic identifies AWS `DeleteTrail` events within CloudTrail logs. Adversaries often try to impair their target's defenses by stopping their malicious activity from being logged, so that they may operate with stealth and avoid detection. When the adversary has the right type of permissions in the compromised AWS environment, they may delete the the entire cloudtrail that is logging activities in the environment.",AWS
"aws_defense_evasion_delete_cloudwatch_log_group:This analytic identifies AWS `DeleteLogGroup` events in CloudTrail logs. Attackers may evade the logging capability by deleting the log group in CloudWatch. This will stop sending the logs and metrics to CloudWatch. When the adversary has the right type of permissions within the compromised AWS environment, they may delete the CloudWatch log group that is logging activities in the environment.",AWS
"aws_defense_evasion_impair_security_services:This analytic looks for several delete specific API calls made to AWS Security Services like CloudWatch, GuardDuty and Web Application Firewalls. These API calls are often leveraged by adversaries to weaken existing security defenses by deleting logging configurations in the CloudWatch alarm, delete a set of detectors from your Guardduty environment or simply delete a bunch of CloudWatch alarms to remain stealthy and avoid detection.",AWS
"aws_defense_evasion_putbucketlifecycle:This analytic identifies `PutBucketLifecycle` events in CloudTrail logs where a user has created a new lifecycle rule for an S3 bucket with a short expiration period. Attackers may use this API call to impair the CloudTrail logging by removing logs from the S3 bucket by changing the object expiration day to 1 day, in which case the CloudTrail logs will be deleted.",AWS
"aws_defense_evasion_stop_logging_cloudtrail:This analytic identifies `StopLogging` events in CloudTrail logs. Adversaries often try to impair their target's defenses by stopping their macliious activity from being logged, so that they may operate with stealth and avoid detection. When the adversary has the right type of permissions in the compromised AWS environment, they may easily stop logging.",AWS
"aws_defense_evasion_update_cloudtrail:This analytic identifies `UpdateTrail` events in CloudTrail logs. Attackers may evade the logging capability by updating the settings and impairing them with wrong parameters. For example, Attackers may change the multi-regional log into a single region logs, which evades the logging for other regions. When the adversary has the right type of permissions in the compromised AWS environment, they may update the CloudTrail settings that is logging activities in your environment.",AWS
aws_detect_attach_to_role_policy:This search provides detection of an user attaching itself to a different role trust policy. This can be used for lateral movement and escalation of privileges.,AWS
aws_detect_permanent_key_creation:This search provides detection of accounts creating permanent keys. Permanent keys are not created by default and they are only needed for programmatic calls. Creation of Permanent key is an important event to monitor.,AWS
aws_detect_role_creation:This search provides detection of role creation by IAM users. Role creation is an event by itself if user is creating a new role with trust policies different than the available in AWS and it can be used for lateral movement and escalation of privileges.,AWS
aws_detect_sts_assume_role_abuse:This search provides detection of suspicious use of sts:AssumeRole. These tokens can be created on the go and used by attackers to move laterally and escalate privileges.,AWS
aws_detect_sts_get_session_token_abuse:This search provides detection of suspicious use of sts:GetSessionToken. These tokens can be created on the go and used by attackers to move laterally and escalate privileges.,AWS
aws_detect_users_creating_keys_with_encrypt_policy_without_mfa:This search provides detection of KMS keys where action kms:Encrypt is accessible for everyone (also outside of your organization). This is an indicator that your account is compromised and the attacker uses the encryption key to compromise another company.,AWS
aws_detect_users_with_kms_keys_performing_encryption_s3:This search provides detection of users with KMS keys performing encryption specifically against S3 buckets.,AWS
aws_disable_bucket_versioning:The following analytic detects AWS cloudtrail events where bucket versioning is suspended by a user. Versioning allows the AWS Administrators to maintain different version of the S3 bucket which can be used to recover deleted data. Adversaries have leveraged this technique in the wild during a ransomware incident to disable versioning so the client cannot recover the data.,AWS
aws_ec2_snapshot_shared_externally:The following analytic utilizes AWS CloudTrail events to identify when an EC2 snapshot permissions are modified to be shared with a different AWS account. This method is used by adversaries to exfiltrate the EC2 snapshot.,AWS
aws_ecr_container_scanning_findings_high:This search looks for AWS CloudTrail events from AWS Elastic Container Service (ECR). You need to activate image scanning in order to get the event DescribeImageScanFindings with the results.,AWS
aws_ecr_container_scanning_findings_low_informational_unknown:This search looks for AWS CloudTrail events from AWS Elastic Container Service (ECR). You need to activate image scanning in order to get the event DescribeImageScanFindings with the results.,AWS
aws_ecr_container_scanning_findings_medium:This search looks for AWS CloudTrail events from AWS Elastic Container Service (ECR). You need to activate image scanning in order to get the event DescribeImageScanFindings with the results.,AWS
"aws_ecr_container_upload_outside_business_hours:This search looks for AWS CloudTrail events from AWS Elastic Container Service (ECR). A upload of a new container is normally done during business hours. When done outside business hours, we want to take a look into it.",AWS
"aws_ecr_container_upload_unknown_user:This search looks for AWS CloudTrail events from AWS Elastic Container Service (ECR). A upload of a new container is normally done from only a few known users. When the user was never seen before, we should have a closer look into the event.",AWS
aws_eks_kubernetes_cluster_sensitive_object_access:This search provides information on Kubernetes accounts accessing sensitve objects such as configmaps or secrets,AWS
aws_excessive_security_scanning:This search looks for AWS CloudTrail events and analyse the amount of eventNames which starts with Describe by a single user. This indicates that this user scans the configuration of your AWS cloud environment.,AWS
